unnamed_0,dbn,district,school_name,school,principal,progress_report_type,school_type,peerindex,overallgrade,overallscore2012,overallpercentile2012,progressscore2012,progressgrade2012,performancescore2012,performancegrade2012,environmentscore2012,environmentgrade2012,additionalcredit2012,201011_progress_report_grade,200910_progress_report_grade,parentresponserate,teacherresponserate,studentresponserate,safetyscore,communicationscore,engagementscore,expectationsscore
0,03M185,3,P.S. 185 - The Early Childhood Discovery And Desig,P.S. 185 John M. Langston,Jane Murphy,EC,Early Childhood School,61.11,B,41.5,,14.2,C,14.6,B,9.7,B,3,C,C,0.9,1,,8.7,8,8.3,8.4
1,04M112,4,P.S. 112 Jose Celso Barbosa,P.S. 112 Jose Celso Barbosa,Eileen Reiter,EC,Early Childhood School,63.85,B,42.6,,16.5,C,11.1,C,8.8,B,6.2,A,B,0.98,1,,8.2,8.1,8.1,8.4
2,06M178,6,Professor Juan Bosch Public School,Professor Juan Bosch Public School,Deirdre Budd,EC,Early Childhood School,54.84,C,38.5,,13.8,C,7.1,F,11.2,B,6.3,B,B,1,1,,9,8.5,8.6,8.7
3,09X088,9,P.S. X088 - S. Silverstein Little Sparrow School,P.S. X088 - S. Silverstein Little Sparrow School,Melinda Hyer,EC,Early Childhood School,67.3,B,47.1,,17,B,16.1,B,10.1,B,3.9,B,B,0.35,0.36,,8.5,7.4,7.6,8
4,09X170,9,P.S. 170,P.S. 170,Nancy Ramos,EC,Early Childhood School,59.63,B,41.5,,12.1,C,13.5,C,12.9,A,3,B,B,0.8,0.86,,9.5,8.7,9,9.2
5,09X236,9,P.S. 236 Langston Hughes,P.S. 236 Langston Hughes,Beverly Ellis,EC,Early Childhood School,67.98,C,36.3,,12.8,C,9.7,C,8.9,B,4.8,C,B,0.83,0.94,,8.3,8.2,8.1,8.2
6,09X449,9,Grant Avenue Elementary School,GRANT AVENUE ELEMENTARY SCHOOL,Kristin Erat,EC,Early Childhood School,65.17,B,48.5,,16.4,C,16.5,B,12.7,A,2.9,.,.,0.86,0.88,,9.3,8.9,9.2,9.2
7,10X023,10,P.S. 023 The New Children'S School,P.S. 023 The New Children's School,Shirley Torres,EC,Early Childhood School,73.2,C,38.5,,15.7,C,7.7,F,9.2,B,5.8,B,C,0.57,0.98,,7.9,7.6,7.8,8.2
8,10X207,10,P.S. 207,P.S. 207,Maria Rosado,EC,Early Childhood School,63.02,B,41.2,,15.8,C,13.2,C,7.9,C,4.2,C,C,0.71,0.83,,8.7,7.8,7.8,8.1
9,10X209,10,P.S. 209,P.S. 209,Anne Keegan,EC,Early Childhood School,67.47,A,60.8,,22,B,20.3,A,14.4,A,4.1,B,A,0.93,1,,9.5,8.8,9.1,9.4
